idZone,nameZone,idQuartier,piece,epoque,type,ref_2015,ref_2016,refmin_2015,refmin_2016,refmaj_2015,refmaj_2016
8,Saint-Lambert,57,1 pièce,1946-1970,Non meublée,24.4,24.4,17.1,17.1,29.3,29.3
9,Picpus,46,1 pièce,1946-1970,Non meublée,20.8,21.2,14.6,14.8,25.0,25.4
9,Grandes-Carrières,69,1 pièce,1946-1970,Non meublée,20.8,21.2,14.6,14.8,25.0,25.4
9,Clignancourt,70,1 pièce,1946-1970,Non meublée,20.8,21.2,14.6,14.8,25.0,25.4
10,Jardin-des-Plantes,18,1 pièce,1946-1970,Non meublée,23.8,24.9,16.7,17.4,28.6,29.9
10,Saint-Ambroise,42,1 pièce,1946-1970,Non meublée,23.8,24.9,16.7,17.4,28.6,29.9
10,Sainte-Marguerite,44,1 pièce,1946-1970,Non meublée,23.8,24.9,16.7,17.4,28.6,29.9
10,Salpétrière,49,1 pièce,1946-1970,Non meublée,23.8,24.9,16.7,17.4,28.6,29.9
10,Petit-Montrouge,55,1 pièce,1946-1970,Non meublée,23.8,24.9,16.7,17.4,28.6,29.9
10,Batignolles,67,1 pièce,1946-1970,Non meublée,23.8,24.9,16.7,17.4,28.6,29.9
11,Porte-Saint-Martin,39,1 pièce,1946-1970,Non meublée,21.8,22.4,15.3,15.7,26.2,26.9
11,Hôpital-Saint-Louis,40,1 pièce,1946-1970,Non meublée,21.8,22.4,15.3,15.7,26.2,26.9
11,Folie-Méricourt,41,1 pièce,1946-1970,Non meublée,21.8,22.4,15.3,15.7,26.2,26.9
11,Roquette,43,1 pièce,1946-1970,Non meublée,21.8,22.4,15.3,15.7,26.2,26.9
11,Quinze-Vingts,48,1 pièce,1946-1970,Non meublée,21.8,22.4,15.3,15.7,26.2,26.9
11,Parc-de-Montsouris,54,1 pièce,1946-1970,Non meublée,21.8,22.4,15.3,15.7,26.2,26.9
11,Epinettes,68,1 pièce,1946-1970,Non meublée,21.8,22.4,15.3,15.7,26.2,26.9
11,Goutte-d'Or,71,1 pièce,1946-1970,Non meublée,21.8,22.4,15.3,15.7,26.2,26.9
11,Belleville,77,1 pièce,1946-1970,Non meublée,21.8,22.4,15.3,15.7,26.2,26.9
12,Maison-Blanche,51,1 pièce,1946-1970,Non meublée,22.7,22.7,15.9,15.9,27.2,27.2
12,Plaisance,56,1 pièce,1946-1970,Non meublée,22.7,22.7,15.9,15.9,27.2,27.2
13,Gare,50,1 pièce,1946-1970,Non meublée,20.4,20.8,14.3,14.6,24.5,25.0
13,La Chapelle,72,1 pièce,1946-1970,Non meublée,20.4,20.8,14.3,14.6,24.5,25.0
13,Villette,73,1 pièce,1946-1970,Non meublée,20.4,20.8,14.3,14.6,24.5,25.0
13,Pont-de-Flandre,74,1 pièce,1946-1970,Non meublée,20.4,20.8,14.3,14.6,24.5,25.0
13,Amérique,75,1 pièce,1946-1970,Non meublée,20.4,20.8,14.3,14.6,24.5,25.0
13,Saint-Fargeau,78,1 pièce,1946-1970,Non meublée,20.4,20.8,14.3,14.6,24.5,25.0
13,Charonne,80,1 pièce,1946-1970,Non meublée,20.4,20.8,14.3,14.6,24.5,25.0
14,Bel-Air,45,1 pièce,1946-1970,Non meublée,22.6,22.9,15.8,16.0,27.1,27.5
14,Bercy,47,1 pièce,1946-1970,Non meublée,22.6,22.9,15.8,16.0,27.1,27.5
14,Combat,76,1 pièce,1946-1970,Non meublée,22.6,22.9,15.8,16.0,27.1,27.5
14,Père-Lachaise,79,1 pièce,1946-1970,Non meublée,22.6,22.9,15.8,16.0,27.1,27.5
